"transaction_id,account_id,transaction_date,transaction_time,amount,currency,transaction_type,merchant_category,merchant_name,city,country,channel,status,is_flagged"
"T0020,A022,2024-01-06,17:45:22,1100.00,UAH,PURCHASE,RESTAURANT,Puzata Khata,Cherkasy,UA,POS,COMPLETED,false"
"T0021,A024,2024-01-08,12:30:11,7800.00,UAH,PURCHASE,MEDICAL,MedClinic,Mykolaiv,UA,POS,COMPLETED,false"
"T0022,A027,2024-01-09,16:00:00,90000.00,UAH,TRANSFER,EXTERNAL,,Kyiv,UA,APP,COMPLETED,true"
"T0023,A027,2024-01-09,16:02:00,90000.00,UAH,TRANSFER,EXTERNAL,,Kyiv,UA,APP,DECLINED,true"
"T0024,A027,2024-01-09,16:05:00,90000.00,UAH,TRANSFER,EXTERNAL,,Kyiv,UA,WEB,COMPLETED,true"
"T0025,A036,2024-01-01,10:00:00,100000.00,UAH,DEPOSIT,INTERNAL,,Kyiv,UA,BRANCH,COMPLETED,false"
"T0026,A001,2024-02-01,09:22:10,1400.00,UAH,PURCHASE,GROCERY,Silpo,Kyiv,UA,POS,COMPLETED,false"
"T0027,A001,2024-02-10,13:14:55,550.00,UAH,PURCHASE,RESTAURANT,Sushi Bar,Kyiv,UA,POS,COMPLETED,false"
"T0028,A005,2024-02-03,18:00:00,20000.00,UAH,TRANSFER,EXTERNAL,,Kharkiv,UA,APP,COMPLETED,true"
"T0029,A008,2024-02-07,10:40:00,3200.00,UAH,PURCHASE,ELECTRONICS,Rozetka,Dnipro,UA,ONLINE,COMPLETED,false"
"T0030,A012,2024-02-12,08:30:00,18000.00,UAH,PURCHASE,TRAVEL,LOT Airlines,Kyiv,UA,ONLINE,COMPLETED,false"
"T0031,A016,2024-02-14,19:55:10,55000.00,UAH,TRANSFER,EXTERNAL,,Kyiv,UA,APP,COMPLETED,true"
"T0032,A017,2024-02-01,09:00:00,75000.00,UAH,DEPOSIT,INTERNAL,,Kyiv,UA,BRANCH,COMPLETED,false"
"T0033,A019,2024-02-08,14:20:00,4100.00,UAH,PURCHASE,CLOTHING,H&M,Kyiv,UA,POS,COMPLETED,false"
"T0034,A027,2024-02-10,23:11:45,95000.00,UAH,TRANSFER,EXTERNAL,,Kyiv,UA,APP,COMPLETED,true"
"T0035,A027,2024-02-10,23:12:10,95000.00,UAH,TRANSFER,EXTERNAL,,Kyiv,UA,APP,DECLINED,true"
"T0036,A036,2024-02-05,11:00:00,200000.00,UAH,PURCHASE,REAL_ESTATE,Developer,Kyiv,UA,BRANCH,COMPLETED,false"
"T0037,A004,2024-02-18,09:33:00,600.00,UAH,PURCHASE,GROCERY,Fora,Lviv,UA,POS,COMPLETED,false"
"T0038,A011,2024-02-20,15:10:00,450.00,UAH,PURCHASE,GROCERY,ATB,Zaporizhzhia,UA,POS,COMPLETED,false"
"T0039,A018,2024-02-22,20:44:00,5000.00,UAH,WITHDRAWAL,ATM,,Kherson,UA,ATM,COMPLETED,true"
"T0040,A021,2024-02-25,07:55:00,1800.00,UAH,PURCHASE,UTILITY,Gaz,Poltava,UA,APP,COMPLETED,false"
"T0041,A001,2024-03-03,10:00:00,1600.00,UAH,PURCHASE,GROCERY,Silpo,Kyiv,UA,POS,COMPLETED,false"
"T0042,A005,2024-03-05,14:22:00,12000.00,UAH,TRANSFER,EXTERNAL,,Kharkiv,UA,APP,COMPLETED,true"
"T0043,A008,2024-03-08,09:45:00,6700.00,UAH,PURCHASE,TRAVEL,Kiy Avia,Dnipro,UA,ONLINE,COMPLETED,false"
"T0044,A009,2024-03-10,11:30:00,2000.00,USD,PURCHASE,ONLINE,eBay,NY,US,ONLINE,COMPLETED,false"
"T0045,A012,2024-03-12,16:40:00,9000.00,UAH,PURCHASE,MEDICAL,Boris Clinic,Kyiv,UA,POS,COMPLETED,false"
"T0046,A016,2024-03-15,20:00:00,48000.00,UAH,TRANSFER,EXTERNAL,,Kyiv,UA,APP,COMPLETED,true"
"T0047,A017,2024-03-01,08:00:00,60000.00,UAH,DEPOSIT,INTERNAL,,Kyiv,UA,BRANCH,COMPLETED,false"
"T0048,A027,2024-03-20,02:33:15,120000.00,UAH,TRANSFER,EXTERNAL,,Kyiv,UA,APP,COMPLETED,true"
"T0049,A027,2024-03-20,02:35:00,120000.00,UAH,TRANSFER,EXTERNAL,,Kyiv,UA,APP,DECLINED,true"
"T0050,A036,2024-03-15,10:30:00,150000.00,UAH,WITHDRAWAL,INTERNAL,,Kyiv,UA,BRANCH,COMPLETED,false"
"T0051,A001,2024-04-02,09:10:00,1300.00,UAH,PURCHASE,GROCERY,Silpo,Kyiv,UA,POS,COMPLETED,false"
"T0052,A004,2024-04-05,13:00:00,900.00,UAH,PURCHASE,PHARMACY,Farmacy,Lviv,UA,POS,COMPLETED,false"
"T0053,A007,2024-04-08,18:22:00,4500.00,UAH,PURCHASE,ELECTRONICS,Foxtrot,Odesa,UA,POS,COMPLETED,true"
"T0054,A007,2024-04-08,18:24:00,4500.00,UAH,PURCHASE,ELECTRONICS,Foxtrot,Kyiv,UA,POS,DECLINED,true"
"T0055,A010,2024-04-10,09:00:00,75000.00,UAH,WITHDRAWAL,CREDIT,,Dnipro,UA,ATM,COMPLETED,true"
"T0056,A012,2024-04-14,15:00:00,22000.00,UAH,PURCHASE,JEWELRY,Svarovski,Kyiv,UA,POS,COMPLETED,false"
"T0057,A015,2024-04-16,10:30:00,2200.00,UAH,PURCHASE,GROCERY,Novus,Lviv,UA,POS,COMPLETED,false"
"T0058,A016,2024-04-20,21:05:00,52000.00,UAH,TRANSFER,EXTERNAL,,Kyiv,UA,APP,COMPLETED,true"
"T0059,A019,2024-04-22,11:00:00,5500.00,UAH,PURCHASE,CLOTHING,Reserved,Kyiv,UA,POS,COMPLETED,false"
"T0060,A022,2024-04-25,16:30:00,1300.00,UAH,PURCHASE,RESTAURANT,Celentano,Cherkasy,UA,POS,COMPLETED,false"
"T0061,A024,2024-04-28,14:00:00,9500.00,UAH,PURCHASE,MEDICAL,Dobrobut,Mykolaiv,UA,POS,COMPLETED,false"
"T0062,A027,2024-04-30,03:15:00,80000.00,UAH,TRANSFER,EXTERNAL,,Kyiv,UA,APP,COMPLETED,true"
"T0063,A036,2024-04-10,09:00:00,300000.00,UAH,PURCHASE,REAL_ESTATE,Developer2,Kyiv,UA,BRANCH,COMPLETED,false"
"T0064,A001,2024-05-03,10:30:00,1500.00,UAH,PURCHASE,GROCERY,Silpo,Kyiv,UA,POS,COMPLETED,false"
"T0065,A005,2024-05-07,15:00:00,9000.00,UAH,TRANSFER,EXTERNAL,,Kharkiv,UA,APP,COMPLETED,false"
"T0066,A008,2024-05-10,12:00:00,4400.00,UAH,PURCHASE,ELECTRONICS,Allo,Dnipro,UA,POS,COMPLETED,false"
"T0067,A010,2024-05-12,08:45:00,60000.00,UAH,WITHDRAWAL,CREDIT,,Dnipro,UA,ATM,COMPLETED,true"
"T0068,A012,2024-05-15,17:00:00,13000.00,UAH,PURCHASE,TRAVEL,Ukraine International Airlines,Kyiv,UA,ONLINE,COMPLETED,false"
"T0069,A016,2024-05-18,22:40:00,40000.00,UAH,TRANSFER,EXTERNAL,,Kyiv,UA,APP,COMPLETED,true"
"T0070,A017,2024-05-01,09:00:00,80000.00,UAH,DEPOSIT,INTERNAL,,Kyiv,UA,BRANCH,COMPLETED,false"
"T0071,A019,2024-05-20,13:30:00,3700.00,UAH,PURCHASE,CLOTHING,Bershka,Kyiv,UA,POS,COMPLETED,false"
"T0072,A027,2024-05-25,01:50:00,100000.00,UAH,TRANSFER,EXTERNAL,,Kyiv,UA,APP,COMPLETED,true"
"T0073,A033,2024-05-28,10:00:00,3100.00,UAH,PURCHASE,GROCERY,Silpo,Rivne,UA,POS,COMPLETED,false"
"T0074,A035,2024-05-30,15:00:00,11000.00,UAH,PURCHASE,TRAVEL,Bus Ticket,Uzhhorod,UA,ONLINE,COMPLETED,false"
"T0075,A036,2024-05-20,11:00:00,250000.00,UAH,TRANSFER,EXTERNAL,,Kyiv,UA,BRANCH,COMPLETED,false"
"T0076,A001,2024-06-02,09:00:00,1700.00,UAH,PURCHASE,GROCERY,Silpo,Kyiv,UA,POS,COMPLETED,false"
"T0077,A004,2024-06-05,14:30:00,750.00,UAH,PURCHASE,GROCERY,Fora,Lviv,UA,POS,COMPLETED,false"
"T0078,A007,2024-06-08,20:10:00,35000.00,UAH,PURCHASE,ELECTRONICS,Apple Store,Kyiv,UA,ONLINE,COMPLETED,true"
"T0079,A007,2024-06-08,20:12:00,35000.00,UAH,PURCHASE,ELECTRONICS,Apple Store,Berlin,DE,ONLINE,DECLINED,true"
"T0080,A012,2024-06-10,10:00:00,17000.00,UAH,PURCHASE,TRAVEL,Booking.com,Kyiv,UA,ONLINE,COMPLETED,false"
"T0081,A016,2024-06-15,23:00:00,43000.00,UAH,TRANSFER,EXTERNAL,,Kyiv,UA,APP,COMPLETED,true"
"T0082,A017,2024-06-01,08:30:00,55000.00,UAH,DEPOSIT,INTERNAL,,Kyiv,UA,BRANCH,COMPLETED,false"
"T0083,A019,2024-06-18,12:00:00,4900.00,UAH,PURCHASE,CLOTHING,Stradivarius,Kyiv,UA,POS,COMPLETED,false"
"T0084,A027,2024-06-22,04:05:00,110000.00,UAH,TRANSFER,EXTERNAL,,Kyiv,UA,APP,COMPLETED,true"
"T0085,A036,2024-06-25,10:00:00,500000.00,UAH,DEPOSIT,INTERNAL,,Kyiv,UA,BRANCH,COMPLETED,false"
"T0086,A001,2024-07-01,10:00:00,1900.00,UAH,PURCHASE,GROCERY,Silpo,Kyiv,UA,POS,COMPLETED,false"
"T0087,A005,2024-07-05,16:00:00,8000.00,UAH,TRANSFER,EXTERNAL,,Kharkiv,UA,APP,COMPLETED,false"
"T0088,A008,2024-07-10,11:00:00,5100.00,UAH,PURCHASE,ELECTRONICS,Rozetka,Dnipro,UA,ONLINE,COMPLETED,false"
"T0089,A009,2024-07-12,14:30:00,1500.00,USD,PURCHASE,ONLINE,AliExpress,CN,CN,ONLINE,COMPLETED,true"
"T0090,A012,2024-07-15,09:00:00,8000.00,UAH,PURCHASE,MEDICAL,Dobrobut,Kyiv,UA,POS,COMPLETED,false"
"T0091,A014,2024-07-18,20:30:00,80000.00,UAH,WITHDRAWAL,CREDIT,,Kyiv,UA,ATM,COMPLETED,true"
"T0092,A016,2024-07-20,21:30:00,47000.00,UAH,TRANSFER,EXTERNAL,,Kyiv,UA,APP,COMPLETED,true"
"T0093,A017,2024-07-01,09:00:00,70000.00,UAH,DEPOSIT,INTERNAL,,Kyiv,UA,BRANCH,COMPLETED,false"
"T0094,A019,2024-07-22,13:00:00,6200.00,UAH,PURCHASE,TRAVEL,Booking.com,Kyiv,UA,ONLINE,COMPLETED,false"
"T0095,A022,2024-07-25,17:00:00,1900.00,UAH,PURCHASE,RESTAURANT,Veterano,Cherkasy,UA,POS,COMPLETED,false"
"T0096,A027,2024-07-28,02:00:00,130000.00,UAH,TRANSFER,EXTERNAL,,Kyiv,UA,APP,COMPLETED,true"
"T0097,A036,2024-07-30,10:00:00,400000.00,UAH,WITHDRAWAL,INTERNAL,,Kyiv,UA,BRANCH,COMPLETED,false"
"T0098,A001,2024-08-02,09:30:00,2100.00,UAH,PURCHASE,GROCERY,Silpo,Kyiv,UA,POS,COMPLETED,false"
"T0099,A004,2024-08-05,12:00:00,500.00,UAH,PURCHASE,PHARMACY,Apteka,Lviv,UA,POS,COMPLETED,false"
"T0100,A008,2024-08-10,10:30:00,7200.00,UAH,PURCHASE,ELECTRONICS,Foxtrot,Dnipro,UA,POS,COMPLETED,false"
